fid,date,x,y
1,2021/08/19 10:03:27,28.2430812916275,-25.7531362080222
2,2021/08/19 10:12:01,28.2418064418711,-25.7532015756851
3,2021/08/19 10:29:55,28.2402129012936,-25.7501564797451
4,2021/08/19 10:34:35,28.2415025096088,-25.7500715602444
5,2021/08/19 10:35:39,28.2418268547969,-25.7500055184661
6,2021/08/19 10:36:14,28.2420445735573,-25.7500135579497
7,2021/08/19 09:59:47,28.2448517727787,-25.752819965782
8,2021/08/19 10:01:37,28.2444309770685,-25.7528242212351
9,2021/08/19 10:05:19,28.2439934977818,-25.7528917566711
10,2021/08/19 10:10:16,28.2426200586664,-25.7529190564493
11,2021/08/19 10:11:48,28.2421397889692,-25.7530256172588
12,2021/08/19 10:13:52,28.2412634803718,-25.7530412437932
13,2021/08/19 10:14:06,28.2411524880065,-25.7530380648412
14,2021/08/19 10:14:33,28.2410100625226,-25.7530447096999
15,2021/08/19 10:27:58,28.2402372240524,-25.751126643096
16,2021/08/19 10:32:01,28.2401937655193,-25.7503838682123
17,2021/08/19 10:34:14,28.2408166646391,-25.7501713341716
18,2021/08/19 10:37:03,28.2416073481224,-25.7501786773164
19,2021/08/19 10:50:11,28.2449497297524,-25.7501982535153
20,2021/08/19 10:36:36,28.2416504435241,-25.7502630818635
21,2021/08/19 10:33:56,28.2409142609686,-25.7502964837477
22,2021/08/19 10:49:57,28.2448938209563,-25.7502334937453
23,2021/08/19 10:10:28,28.2425145339221,-25.7529800757766
24,2021/08/19 10:11:56,28.2421321514994,-25.7529775612056
25,2021/08/19 10:14:16,28.24099724181,-25.7530607515946
26,2021/08/19 10:27:41,28.2402673,-25.751176
27,2021/08/19 10:30:27,28.2402316387743,-25.7506308797747
28,2021/08/19 10:32:03,28.2402188144624,-25.7503725495189
29,2021/08/19 11:18:33,28.2426551968708,-25.7520559770731
30,2021/08/19 11:05:45,28.2419775438855,-25.7514867195807
31,2021/08/19 11:05:00,28.2423286704485,-25.7514894465889
32,2021/08/19 10:58:31,28.2442109065969,-25.7513882712789
33,2021/08/19 10:58:55,28.2440896052211,-25.7513600924596
34,2021/08/19 10:54:48,28.2450071842395,-25.7509824135529
35,2021/08/19 11:03:02,28.2419812673594,-25.7517397504206
36,2021/08/19 10:57:08,28.244570915366,-25.7515314688995
37,2021/08/19 11:06:09,28.2412986073771,-25.7517777444034
38,2021/08/19 11:05:43,28.2414430786945,-25.7517589481773
39,2021/08/19 11:16:20,28.2426794709434,-25.751293167558
40,2021/08/19 11:09:35,28.2404019795907,-25.7516903999465
41,2021/08/19 11:17:59,28.2424650439222,-25.7505565993273
42,2021/08/19 11:16:48,28.2425131557747,-25.7512180460414
43,2021/08/19 11:22:12,28.2427302126872,-25.7524331367915
44,2021/08/19 11:29:37,28.2450576279981,-25.7521821383338
45,2021/08/19 11:18:14,28.242635987699,-25.7521164044738
46,2021/08/19 11:23:07,28.2427868619561,-25.7524841185659
47,2021/08/19 11:29:38,28.2450379896909,-25.7522473717108
48,2021/08/19 10:58:57,28.2440442312509,-25.7513984106481
49,2021/08/19 11:04:42,28.2422799244523,-25.7515160925686
50,2021/08/19 11:05:43,28.2418920099735,-25.7515129493549
51,2021/08/19 11:17:45,28.2426392566413,-25.7519361935556
52,2021/08/19 10:58:36,28.2441391982138,-25.7514015538618
53,2021/08/19 10:54:44,28.2449970860034,-25.7510129269212
