fid,name,date,x,y,,
55,The Legendary Barber,2021-08-19T11:09:29.000,28.2332104532609,-25.7505872165784,,
22,The Turkish Table,2021-08-19T11:09:33.000,28.2407925557345,-25.7516129873693,,
45,The Wash Bar,2021-08-19T11:17:02.000,28.2338165400089,-25.7501000151029,,
86,Total,2021-08-24T09:56:06.000,28.2309182292673,-25.7493173899145,,
44,Tree of Life,2021-08-19T11:17:24.000,28.2337528647085,-25.7501183109808,,
33,Triumph,2021-08-19T10:37:19.000,28.2398160900138,-25.7489926244464,,
46,Tyremart,2021-08-19T11:55:01.000,28.2373080051822,-25.7492804959103,,
83,U-Mate internet cafe,2021-08-24T09:29:40.000,28.2348310086449,-25.7516546862833,,
30,Universal Art,2021-08-19T10:14:53.000,28.2366182,-25.764971,,
60,Van Schaik,2021-08-19T11:11:41.000,28.2332072948053,-25.7506144765958,,
66,Wash bar,2021-08-19T11:17:00.000,28.2338102381486,-25.7502677653093,,
28,Wize Books,2021-08-19T11:40:57.000,28.23590181,-25.75198339,,
51,Woolfson’s Pharmacy,2021-08-19T11:05:01.000,28.2343082652965,-25.7505155477902,,
8,Zanzou,2021-08-19T10:23:05.000,28.2401219257887,-25.7524048053892,,
